Panel,File_Identification,Schdule,Quarter,Visit,Sector,State_Ut_Code,District_Code,NSS_Region,Stratum,Sub_Stratum,Sub_Sample,Fod_Sub_Region,FSU,Sample_Sg_Sb_No,Second_Stage_Stratum_No,Sample_Household_Number,Month_of_Survey,Response_Code,Survey_Code,Reason_for_Substitution,Household_Size,Household_Type,Religion,Social_Group,Usual_Expenditure,Imputed_Homegrown_Consumption,Imputed_Wages_Consumption,Annual_Clothing_Expenditure,Annual_Durables_Expenditure,Monthly_Consumer_Expenditure,Informant_Serial_No,Survey_Date,Total_Time_Taken,NSS_Sector_Stratum_Substr_Subsam,NSC_Sector_Stratum_Substr,Subsample_Multiplier,Contrib_Sample_Count
P4,CFVH4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,3,01,1,1,1,,1,9,1,1,3000,0,0,1000,1500,3208,01,19012024,  30,1,2,1684711,4
P4,CFVH4,104,Q3,V1,1,28,25,281,01,01,2,2822,13386,1,3,02,1,1,1,,2,1,1,1,1000,0,0,5000,6000,1917,01,19012024,  50,1,2,1684711,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,02,1,2822,11905,1,1,01,1,2,1,,2,2,1,3,15000,2200,0,25000,10500,20158,01,24012024,  60,1,2,1113928,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,02,1,2822,11905,1,1,02,1,2,1,,4,2,1,3,8500,1800,950,16500,1800,12775,02,24012024,  60,1,2,1113928,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,02,1,2822,11905,1,2,01,1,2,1,,4,1,1,2,10500,2450,950,18000,2850,15638,02,24012024,  70,1,2,1015640,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,02,1,2822,11905,1,2,02,1,1,1,,3,3,1,3,7500,1850,850,16500,5500,12033,03,24012024,  60,1,2,1015640,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,02,1,2822,11905,1,2,03,1,2,1,,2,1,1,3,7200,1850,650,16000,2850,11271,01,25012024,  60,1,2,1015640,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,02,1,2822,11905,1,2,04,1,2,1,,3,1,1,3,8500,2200,650,14000,4500,12892,01,24012024,  60,1,2,1015640,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,02,1,2822,11905,1,3,01,1,1,1,,1,9,1,3,2500,0,600,6500,0,3642,01,25012024,  40,1,2,6486992,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,02,1,2822,11905,1,3,02,1,2,1,,2,2,1,2,6500,0,850,12000,5200,8783,01,25012024,  60,1,2,6486992,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,02,2,2822,16018,1,1,01,1,1,1,,8,3,1,3,20000,1600,0,30000,2500,24308,08,24012024,  90,1,2,4879512,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,02,2,2822,16018,1,1,02,1,1,1,,3,3,1,3,6000,0,0,25000,6000,8583,02,25012024,  45,1,2,4879512,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,02,2,2822,16018,1,2,01,1,1,1,,6,1,1,3,10000,1000,0,70000,1200,16933,01,25012024,  90,1,2,1643625,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,02,2,2822,16018,1,2,02,1,1,1,,4,1,1,3,5000,3000,0,20000,2500,9875,02,24012024,  45,1,2,1643625,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,02,2,2822,16018,1,2,03,1,1,1,,3,2,1,3,6000,0,0,5000,2500,6625,01,24012024,  55,1,2,1643625,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,02,2,2822,16018,1,2,04,1,1,1,,2,3,1,3,25000,2700,0,10000,60000,33533,02,24012024,  45,1,2,1643625,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,02,2,2822,16018,1,3,01,1,1,1,,1,9,1,3,3000,2500,0,10000,6000,6833,01,24012024,  30,1,2,3184523,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,02,2,2822,16018,1,3,02,1,1,1,,4,3,1,3,5000,4500,0,10000,40000,13667,02,24012024, 100,1,2,3184523,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,03,2,2822,15798,1,1,01,2,2,1,,5,2,1,3,11500,0,650,18500,1650,13829,02,15022024,  60,1,2,1054998,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,03,2,2822,15798,1,1,02,2,1,1,,2,1,1,3,12000,2200,0,20000,11900,16858,01,15022024,  50,1,2,1054998,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,03,2,2822,15798,1,2,01,2,2,1,,3,3,1,3,10000,2150,850,18600,1950,14713,02,16022024,  60,1,2,1118298,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,03,2,2822,15798,1,2,02,2,2,1,,4,2,1,9,9500,0,1250,16500,6500,12667,02,16022024,  60,1,2,1118298,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,03,2,2822,15798,1,2,03,2,2,1,,4,1,1,3,8200,2450,680,15600,6200,13147,01,15022024,  60,1,2,1118298,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,03,2,2822,15798,1,2,04,2,2,1,,4,1,1,3,10500,2200,880,18000,3560,15377,02,15022024,  60,1,2,1118298,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,03,2,2822,15798,1,3,01,2,1,1,,1,9,1,3,2200,0,520,6500,1250,3366,01,15022024,  60,1,2,5992387,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,03,2,2822,15798,1,3,02,2,2,1,,2,1,1,3,7500,1850,450,14500,1500,11133,01,15022024,  60,1,2,5992387,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,03,1,2822,11783,2,1,01,2,1,1,,4,4,1,3,6000,0,0,20000,1500,7792,02,27022024,  65,1,2,6572424,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,03,1,2822,11783,2,2,01,2,1,1,,2,1,1,3,5000,1000,0,24000,2000,8167,02,27022024,  55,1,2,2885454,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,03,1,2822,11783,2,2,02,2,1,1,,3,4,1,2,6000,200,0,20000,2000,8033,01,27022024,  55,1,2,2885454,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,03,1,2822,11783,2,3,01,2,1,1,,2,1,1,3,6000,300,0,12000,1500,7425,02,27022024,  40,1,2,9457878,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,03,1,2822,11783,1,1,01,2,1,1,,4,4,1,3,6000,0,0,20000,2000,7833,01,27022024,  55,1,2,2645000,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,03,1,2822,11783,1,2,01,2,1,1,,4,5,1,2,8000,400,0,15000,2000,9817,01,27022024,  55,1,2,1482803,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,03,1,2822,11783,1,2,02,2,1,1,,3,4,1,2,8000,0,0,12000,2000,9167,02,27022024,  55,1,2,1482803,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,03,1,2822,11783,1,3,01,2,1,1,,1,4,1,2,3000,0,0,5000,3000,3667,01,27022024,  45,1,2,6732727,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,1,2822,15673,2,1,01,2,1,1,,6,2,1,3,5000,1500,300,30000,8000,9967,02,07022024,  58,1,2,4978287,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,1,2822,15673,2,2,01,2,1,1,,6,3,1,3,3000,1000,400,10000,6000,5733,01,07022024,  45,1,2,2065459,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,1,2822,15673,2,2,02,2,1,1,,3,3,1,2,8000,1500,0,5000,2000,10083,02,07022024,  50,1,2,2065459,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,1,2822,15673,2,3,01,2,1,1,,2,9,1,2,3000,0,0,8000,8000,4333,01,07022024,  40,1,2,5825655,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,1,2822,15673,1,1,01,2,1,1,,4,5,1,2,12000,0,1650,18000,8000,15817,02,07022024,  50,1,2,3389472,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,1,2822,15673,1,2,01,2,1,1,,5,1,1,2,15000,1000,300,20000,80000,24633,02,07022024,  55,1,2,900328,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,1,2822,15673,1,2,02,2,1,1,,3,3,1,3,9000,2200,0,30000,8000,14367,01,07022024,  55,1,2,900328,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,1,2822,15673,1,3,01,2,1,1,,2,4,1,2,4000,0,300,8000,2000,5133,02,07022024,  45,1,2,2595064,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,2,2822,15379,2,1,01,3,1,1,,4,5,1,2,7000,0,0,10800,0,7900,01,19032024,  56,1,2,4785667,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,2,2822,15379,2,2,01,3,1,1,,4,9,1,3,6000,0,0,3000,0,6250,01,18032024,  56,1,2,2931221,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,2,2822,15379,2,2,02,3,1,1,,1,2,1,3,5000,0,0,15000,0,6250,01,18032024,  53,1,2,2931221,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,2,2822,15379,2,3,01,3,1,1,,2,5,1,3,6000,0,0,5000,0,6417,02,19032024,  48,1,2,7417784,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,2,2822,15379,1,1,01,3,1,1,,4,5,1,3,8000,0,0,10000,0,8833,02,18032024,  50,1,2,2632117,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,2,2822,15379,1,2,01,3,1,1,,5,1,1,3,6000,700,0,12000,0,7700,02,18032024,  64,1,2,1495521,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,2,2822,15379,1,2,02,3,1,1,,4,5,1,2,3000,0,0,8000,0,3667,02,19032024,  46,1,2,1495521,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,04,2,2822,15379,1,3,01,3,1,1,,2,5,1,3,2000,0,0,4000,0,2333,02,19032024,  48,1,2,5084771,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,05,1,2822,12983,2,1,01,2,2,1,,3,2,1,3,15000,2400,1850,22000,10900,21992,01,28022024,  60,1,2,4291907,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,05,1,2822,12983,2,2,01,2,2,1,,3,1,1,3,12500,2500,850,19500,4560,17855,01,29022024,  50,1,2,1526929,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,05,1,2822,12983,2,2,02,2,2,1,,2,1,1,3,8200,2200,450,16000,5600,12650,02,29022024,  50,1,2,1526929,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,05,1,2822,12983,2,3,01,2,2,1,,2,1,1,3,7500,1850,420,12000,1650,10908,01,29022024,  60,1,2,8171131,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,05,1,2822,12983,1,1,01,2,2,1,,4,2,1,3,8500,0,1250,14500,3750,11271,03,28022024,  60,1,2,1609465,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,05,1,2822,12983,1,2,01,2,2,1,,3,3,1,9,10500,0,1533,18000,9500,14325,02,28022024,  60,1,2,804733,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,05,1,2822,12983,1,2,02,2,2,1,,2,9,1,3,7500,0,1200,16500,5500,10533,01,28022024,  50,1,2,804733,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,05,1,2822,12983,1,3,01,2,2,1,,5,1,1,3,12000,2450,1360,18000,1850,17464,01,29022024,  60,1,2,4415712,4
P4,CFVH4,104,Q3,V1,1,28,23,281,01,05,2,2820,10774,2,1,01,1,1,1,,4,1,1,9,11500,2400,550,15000,46500,19575,01,30012024,  55,1,2,9028270,4
P4,CFVH4,104,Q3,V1,1,28,23,281,01,05,2,2820,10774,2,2,01,1,1,1,,5,1,1,3,12000,455,265,11000,25400,15753,01,31012024,  52,1,2,3200932,4
P4,CFVH4,104,Q3,V1,1,28,23,281,01,05,2,2820,10774,2,2,02,1,1,1,,2,4,1,3,5000,650,155,4000,0,6138,01,31012024,  45,1,2,3200932,4
P4,CFVH4,104,Q3,V1,1,28,23,281,01,05,2,2820,10774,2,3,01,1,1,1,,2,1,1,3,5500,850,250,4000,2465,7139,01,30012024,  50,1,2,10669774,4
P4,CFVH4,104,Q3,V1,1,28,23,281,01,05,2,2820,10774,1,1,01,1,1,1,,3,4,1,3,6000,660,300,7000,1785,7692,02,30012024,  45,1,2,2216030,4
P4,CFVH4,104,Q3,V1,1,28,23,281,01,05,2,2820,10774,1,2,01,1,1,1,,5,1,1,9,9000,2560,540,16000,9640,14237,02,31012024,  50,1,2,1025940,4
P4,CFVH4,104,Q3,V1,1,28,23,281,01,05,2,2820,10774,1,2,02,1,1,1,,3,1,1,3,7500,1250,460,12000,7580,10842,01,30012024,  40,1,2,1025940,4
P4,CFVH4,104,Q3,V1,1,28,23,281,01,05,2,2820,10774,1,3,01,1,1,1,,1,9,1,9,3500,155,55,2000,1050,3964,01,30012024,  35,1,2,3406120,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,06,1,2822,12090,2,1,01,2,2,1,,4,5,1,3,7850,0,0,2500,0,8058,02,19022024,  35,1,2,4670046,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,06,1,2822,12090,2,2,02,2,2,1,,3,5,1,3,5400,650,0,4500,0,6425,02,19022024,  35,1,2,2587458,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,06,1,2822,12090,2,3,01,2,2,1,,1,9,1,3,5600,0,0,2600,0,5817,01,19022024,  20,1,2,8709005,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,06,1,2822,12090,1,1,01,2,1,1,,6,1,1,3,15600,4250,0,5300,0,20292,03,19022024,  45,1,2,1577718,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,06,1,2822,12090,1,2,01,2,1,1,,4,2,1,3,8650,0,0,5600,9000,9867,02,19022024,  30,1,2,709973,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,06,1,2822,12090,1,2,02,2,2,1,,5,5,1,3,12000,1200,0,4600,0,13583,03,19022024,  45,1,2,709973,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,06,1,2822,12090,1,3,01,2,1,1,,1,9,3,2,3000,0,0,2000,0,3167,01,19022024,  20,1,2,2019479,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,06,1,2822,12090,2,2,01,2,2,2,2,5,2,1,3,8500,0,0,8500,0,9208,01,19022024,  45,1,2,2587458,4
P4,CFVH4,104,Q3,V1,1,28,04,281,01,06,2,2821,16725,2,2,01,1,1,1,,2,2,1,9,9550,700,0,9000,0,11000,01,25012024,  40,1,2,3813003,4
P4,CFVH4,104,Q3,V1,1,28,04,281,01,06,2,2821,16725,2,3,01,1,1,1,,4,1,1,3,14950,1350,0,15000,0,17550,02,25012024,  50,1,2,12551135,4
P4,CFVH4,104,Q3,V1,1,28,04,281,01,06,2,2821,16725,1,1,01,1,1,1,,4,2,1,2,13550,0,0,15000,0,14800,02,25012024,  55,1,2,1271001,4
P4,CFVH4,104,Q3,V1,1,28,04,281,01,06,2,2821,16725,1,2,01,1,1,1,,6,3,1,2,16500,0,1450,9000,0,18700,03,25012024,  65,1,2,651388,4
P4,CFVH4,104,Q3,V1,1,28,04,281,01,06,2,2821,16725,1,2,02,1,1,1,,2,2,1,2,8950,0,0,10000,0,9783,01,25012024,  40,1,2,651388,4
P4,CFVH4,104,Q3,V1,1,28,04,281,01,06,2,2821,16725,1,3,01,1,1,1,,2,2,1,2,8250,0,0,8000,18000,10417,01,25012024,  35,1,2,2383127,4
P4,CFVH4,104,Q3,V1,1,28,04,281,01,06,2,2821,16725,2,1,01,1,1,2,3,6,1,1,3,15250,1350,0,12000,0,17600,03,25012024,  55,1,2,4130753,4
P4,CFVH4,104,Q3,V1,1,28,04,281,01,06,2,2821,16725,2,2,02,1,1,2,3,4,5,1,9,14950,0,0,10000,0,15783,02,25012024,  50,1,2,3813003,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,07,1,2822,13816,2,1,01,2,1,1,,3,1,1,9,5000,1000,0,5000,0,6417,03,17022024,  60,1,2,6857748,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,07,1,2822,13816,2,2,01,2,1,1,,2,3,1,3,4000,0,0,10000,2000,5000,02,17022024,  60,1,2,1982318,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,07,1,2822,13816,2,2,02,2,1,1,,4,1,1,9,6000,1000,0,10000,0,7833,02,17022024,  35,1,2,1982318,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,07,1,2822,13816,2,3,01,2,1,1,,2,4,1,2,2000,0,0,5000,3000,2667,02,17022024,  40,1,2,8250728,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,07,1,2822,13816,1,1,01,2,1,1,,5,1,1,3,8000,1000,0,5000,3000,9667,02,17022024,  60,1,2,1660861,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,07,1,2822,13816,1,2,01,2,1,1,,4,4,1,2,6000,0,0,12000,1200,7100,02,17022024,  60,1,2,723278,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,07,1,2822,13816,1,2,02,2,1,1,,3,4,1,9,3000,0,0,10500,2000,4042,01,17022024,  50,1,2,723278,4
P4,CFVH4,104,Q3,V1,1,28,01,281,01,07,1,2822,13816,1,3,01,2,1,1,,1,4,1,2,3000,0,0,2000,2000,3333,01,17022024,  50,1,2,2544867,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,07,2,2822,14789,2,1,01,3,1,1,,3,2,1,2,5000,300,0,20000,0,6967,03,13032024,  53,1,2,10851274,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,07,2,2822,14789,2,2,01,3,1,1,,2,2,1,2,6000,400,0,0,0,6400,01,14032024,  60,1,2,4507452,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,07,2,2822,14789,2,2,02,3,1,1,,3,5,1,2,6000,0,0,20000,0,7667,01,14032024,  42,1,2,4507452,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,07,2,2822,14789,2,3,01,3,1,1,,2,3,1,2,4000,400,0,9000,0,5150,01,13032024,  55,1,2,10350446,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,07,2,2822,14789,1,1,01,3,1,1,,3,3,2,9,10000,0,0,20000,0,11667,01,14032024,  55,1,2,1975488,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,07,2,2822,14789,1,2,01,3,1,1,,3,5,1,9,5000,0,0,8000,0,5667,01,14032024,  60,1,2,792978,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,07,2,2822,14789,1,2,02,3,1,1,,3,3,1,9,8000,1000,0,15000,0,10250,03,14032024,  53,1,2,792978,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,07,2,2822,14789,1,3,01,3,1,1,,1,9,1,2,3000,0,0,12000,0,4000,01,13032024,  45,1,2,1780722,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,2,2821,11090,2,2,01,1,1,1,,2,3,1,3,5700,100,0,5600,0,6267,01,21012024,  35,1,2,3179595,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,2,2821,11090,2,2,02,1,1,1,,5,4,1,2,8450,100,670,3000,0,9470,02,21012024,  45,1,2,3179595,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,2,2821,11090,2,3,01,1,1,1,,2,9,1,2,4300,60,0,1500,0,4485,02,21012024,  30,1,2,9993013,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,2,2821,11090,1,1,01,1,1,1,,3,2,1,2,8550,0,0,5000,0,8967,02,21012024,  35,1,2,1059865,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,2,2821,11090,1,2,01,1,1,1,,4,4,1,2,8750,150,0,4500,0,9275,02,21012024,  45,1,2,454228,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,2,2821,11090,1,2,02,1,1,1,,3,1,1,2,7160,900,0,4000,2000,8560,02,21012024,  40,1,2,454228,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,2,2821,11090,1,3,01,1,1,1,,5,5,1,2,9300,160,0,5500,0,9918,02,21012024,  40,1,2,1943086,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,2,2821,11090,2,1,01,1,1,2,2,4,3,1,2,9550,0,0,5600,0,10017,02,21012024,  45,1,2,6813418,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,1,2821,10369,2,1,01,2,1,1,,5,2,1,9,11250,0,0,12000,5000,12667,02,22022024,  50,1,2,8865335,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,1,2821,10369,2,2,01,2,1,1,,4,4,1,2,8250,0,1440,5000,5000,10523,02,22022024,  45,1,2,2287828,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,1,2821,10369,2,2,02,2,1,1,,2,5,1,2,5950,0,0,4000,0,6283,02,22022024,  40,1,2,2287828,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,1,2821,10369,2,3,01,2,1,1,,3,4,1,2,6250,0,1440,3000,0,7940,01,22022024,  40,1,2,8865335,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,1,2821,10369,1,1,01,2,1,1,,4,3,1,3,14950,0,0,3000,1500,15325,02,22022024,  50,1,2,1096251,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,1,2821,10369,1,2,01,2,1,1,,3,2,1,3,9850,0,0,4000,13000,11267,01,22022024,  40,1,2,595789,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,1,2821,10369,1,2,02,2,1,1,,2,2,1,3,9250,0,0,5000,3000,9917,01,22022024,  35,1,2,595789,4
P4,CFVH4,104,Q3,V1,1,28,22,281,01,08,1,2821,10369,1,3,01,2,1,1,,2,9,1,3,8950,0,0,4000,0,9283,01,22022024,  35,1,2,1811198,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,09,1,2822,10803,2,1,01,3,2,1,,4,1,1,3,12800,2500,1350,16200,8500,18708,02,15032024,  60,1,2,7346785,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,09,1,2822,10803,2,2,01,3,2,1,,3,5,1,3,8500,0,1250,15000,1850,11154,02,13032024,  60,1,2,2343371,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,09,1,2822,10803,2,2,02,3,2,1,,3,2,1,3,9500,2400,950,14000,2560,14230,02,15032024,  60,1,2,2343371,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,09,1,2822,10803,2,3,01,3,2,1,,1,9,1,3,2500,0,600,3500,0,3392,01,14032024,  50,1,2,10513503,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,09,1,2822,10803,1,1,01,3,2,1,,5,3,1,3,12500,2400,850,25000,18500,19375,02,14032024,  60,1,2,738901,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,09,1,2822,10803,1,2,01,3,2,1,,3,5,1,3,9200,0,850,13500,3500,11467,02,15032024,  60,1,2,443341,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,09,1,2822,10803,1,2,02,3,2,1,,4,1,1,2,8500,2200,850,18500,3560,13388,02,14032024,  60,1,2,443341,4
P4,CFVH4,104,Q3,V1,1,28,02,281,01,09,1,2822,10803,1,3,01,3,2,1,,2,1,1,3,8500,2200,840,14500,1500,12873,01,15032024,  50,1,2,3082272,4
P4,CFVH4,104,Q3,V1,1,28,24,281,01,09,2,2821,16590,2,1,01,2,1,1,,10,3,1,9,20450,1800,0,14500,15600,24758,02,15022024,  65,1,2,9636149,4
P4,CFVH4,104,Q3,V1,1,28,24,281,01,09,2,2821,16590,2,2,01,2,1,1,,4,4,1,9,9400,0,0,5500,0,9858,02,15022024,  45,1,2,3854460,4
P4,CFVH4,104,Q3,V1,1,28,24,281,01,09,2,2821,16590,2,3,01,2,1,1,,2,9,1,3,4900,0,350,1500,0,5375,02,15022024,  25,1,2,7066509,4
P4,CFVH4,104,Q3,V1,1,28,24,281,01,09,2,2821,16590,1,2,01,2,1,1,,3,3,1,3,12500,0,0,3500,0,12792,02,14022024,  40,1,2,365817,4
P4,CFVH4,104,Q3,V1,1,28,24,281,01,09,2,2821,16590,1,2,02,2,1,1,,4,2,1,3,9860,0,0,5600,3000,10577,02,15022024,  50,1,2,365817,4
